event_id,cap,stato_estero
SEND_ANALOG_DOMICILE.IUN_HVWG-GLZD-XVYM-202307-R-1.RECINDEX_0.ATTEMPT_0,25018,NA
SEND_ANALOG_DOMICILE.IUN_GLAY-YJAP-MPXA-202307-E-1.RECINDEX_0.ATTEMPT_0,97019,NA
SEND_ANALOG_DOMICILE.IUN_PUYD-ZPDV-ZATE-202307-M-1.RECINDEX_0.ATTEMPT_0,30014,NA
SEND_ANALOG_DOMICILE.IUN_PUYD-ZPDV-ZATE-202307-M-1.RECINDEX_0.ATTEMPT_1,30014,NA
SEND_ANALOG_DOMICILE.IUN_LZRZ-TNKW-DEMT-202307-Q-1.RECINDEX_0.ATTEMPT_0,47923,NA
SEND_ANALOG_DOMICILE.IUN_QKTM-GXNP-UWUH-202307-Q-1.RECINDEX_0.ATTEMPT_0,47922,NA
SEND_ANALOG_DOMICILE.IUN_AWUP-EAPW-AWJE-202307-X-1.RECINDEX_0.ATTEMPT_0,21010,NA
SEND_ANALOG_DOMICILE.IUN_PKWA-ZXVZ-XVAR-202307-R-1.RECINDEX_0.ATTEMPT_0,80147,NA
SEND_ANALOG_DOMICILE.IUN_XHKE-LNUN-HZHY-202307-Z-1.RECINDEX_0.ATTEMPT_0,20861,NA
SEND_ANALOG_DOMICILE.IUN_NAWL-TJYK-KNXD-202307-T-1.RECINDEX_0.ATTEMPT_0,47826,NA
SEND_ANALOG_DOMICILE.IUN_LWMG-AYRD-QXWJ-202307-A-1.RECINDEX_0.ATTEMPT_0,47838,NA
SEND_ANALOG_DOMICILE.IUN_UZVX-DHJE-XUNR-202307-V-1.RECINDEX_0.ATTEMPT_0,81049,NA
SEND_ANALOG_DOMICILE.IUN_EQYZ-AJWP-RMDX-202307-J-1.RECINDEX_0.ATTEMPT_0,52045,NA
SEND_ANALOG_DOMICILE.IUN_ZNDL-XVPH-XDLD-202307-U-1.RECINDEX_0.ATTEMPT_0,47853,NA
SEND_ANALOG_DOMICILE.IUN_VPAL-PKHP-KLQY-202307-P-1.RECINDEX_0.ATTEMPT_0,20831,NA
