geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
01027,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01027,AR,Poste,0,3,440,511,548,589,622,696,783
01027,RS,Poste,0,3,302,372,409,451,483,557,645
01028,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01028,AR,Poste,0,3,440,511,548,589,622,696,783
01028,RS,Poste,0,3,302,372,409,451,483,557,645
01030,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01030,AR,Poste,0,3,440,511,548,589,622,696,783
01030,RS,Poste,0,3,302,372,409,451,483,557,645
01032,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01032,AR,Poste,0,3,440,511,548,589,622,696,783
01032,RS,Poste,0,3,302,372,409,451,483,557,645
01033,890,Poste,0,3,800,958,958,1033,1033,1130,1130
